Date,Calories,Protein,Carbohydrate,Fat
2026-01-01,2104,95,130,129
2026-01-02,1662,92,191,63
2026-01-03,1470,101,155,53
2026-01-04,1490,95,167,55
2026-01-05,1642,102,160,72
2026-01-06,1726,94,248,50
2026-01-07,1843,52,217,87
2026-01-08,1904,124,186,73
2026-01-09,1730,52,269,51
2026-01-10,1419,101,129,62
2026-01-11,1514,82,142,79
2026-01-12,1449,100,151,57
2026-01-13,1499,79,167,36
2026-01-14,1560,76,171,66
2026-01-15,1777,63,252,59
2026-01-16,1699,87,170,77
2026-01-17,1234,67,127,52
2026-01-18,1592,55,167,81
2026-01-19,1534,92,177,50
2026-01-20,1271,73,130,52
2026-01-21,1761,78,227,66
2026-01-22,1715,76,157,95
2026-01-23,1354,70,171,46
2026-01-24,1329,87,136,49
2026-01-25,1179,94,131,34
2026-01-26,1345,103,146,46
2026-01-27,1451,81,195,38
2026-01-28,1762,59,191,89
2026-01-29,1650,99,251,40
2026-01-30,1369,127,138,37
2026-01-31,1554,112,102,68
2026-02-01,1554,129,159,53
2026-02-02,1825,100,188,78
2026-02-03,1384,130,182,24
2026-02-04,1117,133,130,17
2026-02-05,1390,87,178,42
2026-02-06,1254,110,143,34
2026-02-07,1434,118,195,28
2026-02-08,1214,136,141,21
2026-02-09,1456,93,98,64
2026-02-10,2235,112,251,92
2026-02-11,2783,107,324,122
2026-02-12,2857,111,377,103
2026-02-13,2461,133,348,78
2026-02-14,1422,89,179,47
2026-02-15,1454,84,202,49
2026-02-16,1173,105,154,52
2026-02-17,1746,88,171,82
2026-02-18,2293,89,289,97
2026-02-19,2223,110,267,87
2026-02-20,1793,104,206,68
2026-02-21,1561,80,165,72
2026-02-22,1553,59,147,25
2026-02-23,1414,91,168,49
2026-02-24,1369,114,185,30
2026-02-25,1404,92,192,39
2026-02-26,2088,131,242,77
2026-02-27,1508,79,191,52
2026-02-28,1802,82,161,97
2026-03-01,2233,131,183,47
2026-03-02,1165,111,109,43
2026-03-03,1198,84,108,52
2026-03-04,1377,88,156,50
2026-03-05,1446,147,125,48
2026-03-06,1650,88,138,87
2026-03-07,1449,145,150,31
2026-03-08,1501,70,205,48
2026-03-09,1457,115,179,34
2026-03-10,1394,121,157,41
2026-03-11,1456,121,183,31
2026-03-12,1653,116,189,51
2026-03-13,1460,110,158,45
2026-03-14,1444,124,150,45
2026-03-15,1434,120,159,42
2026-03-16,1503,124,151,47
2026-03-17,1487,114,159,50
2026-03-18,1454,116,145,47
2026-03-19,1457,121,178,30
2026-03-20,2254,144,203,102
2026-03-21,1461,121,181,30
2026-03-22,1422,115,163,40
