Dataset,Dates,Calories,Protein,Carbs,Fat
DS 1,12/29/2025 - 01/04/2026,1701.3,86.3,178.4,71.4
DS 2,01/05/2026 - 01/11/2026,1682.6,86.7,193.0,67.7
DS 3,01/12/2026 - 01/18/2026,1544.3,75.3,172.1,61.1
DS 4,01/19/2026 - 01/25/2026,1449.0,81.4,161.3,56.0
DS 5,01/26/2026 - 02/01/2026,1526.4,101.4,168.9,53.0
DS 6,02/02/2026 - 02/08/2026,1374.0,116.3,165.3,34.9
DS 7,02/09/2026 - 02/15/2026,2095.4,104.1,254.1,79.3
DS 8,02/16/2026 - 02/22/2026,1763.1,90.7,199.9,69.0
DS 9,02/23/2026 - 03/01/2026,1688.3,102.9,188.9,55.9
DS 10,03/02/2026 - 03/08/2026,1398.0,104.7,141.6,51.3
DS 11,03/09/2026 - 03/15/2026,1471.1,118.1,167.9,41.3
DS 12,03/16/2026 - 03/22/2026,1576.9,122.1,168.6,49.4
DS 13,03/23/2026 - 03/29/2026,1553.6,112.7,167.3,53.4
DS 14,03/30/2026 - 04/05/2026,1483.9,114.7,160.9,46.0
