Dataset,Dates,Calories,Protein,Carbs,Fat
DS 1,12/29/2025 - 01/04/2026,1701.3,86.3,178.4,71.4
DS 2,01/05/2026 - 01/11/2026,1682.6,86.7,193.0,67.7
DS 3,01/12/2026 - 01/18/2026,1544.3,75.3,172.1,61.1
DS 4,01/19/2026 - 01/25/2026,1449.0,81.4,161.3,56.0
DS 5,01/26/2026 - 02/01/2026,1526.4,101.4,168.9,53.0
DS 6,02/02/2026 - 02/08/2026,1374.0,116.3,165.3,34.9
DS 7,02/09/2026 - 02/15/2026,2095.4,104.1,254.1,79.3
DS 8,02/16/2026 - 02/22/2026,1763.1,90.7,199.9,69.0
DS 9,02/23/2026 - 03/01/2026,1688.3,102.9,188.9,55.9
DS 10,03/02/2026 - 03/08/2026,1398.0,104.7,141.6,51.3
DS 11,03/09/2026 - 03/15/2026,1471.1,118.1,167.9,41.3
DS 12,03/16/2026 - 03/22/2026,1576.9,122.1,168.6,49.4
DS 13,03/23/2026 - 03/29/2026,1553.6,112.7,167.3,53.4
DS 14,03/30/2026 - 04/05/2026,1483.9,114.7,160.9,46.0
DS 15,04/06/2026 - 04/12/2026,1686.4,127.7,194.4,50.1
DS 16,04/13/2026 - 04/19/2026,1800.3,146.1,203.9,53.7
DS 17,04/20/2026 - 04/26/2026,1906.6,149.6,216.6,57.4
DS 18,04/27/2026 - 05/03/2026,1999.4,140.7,240.6,62.6
DS 19,05/04/2026 - 05/10/2026,1958.9,162.1,205.4,57.7
DS 20,05/11/2026 - 05/17/2026,2220.9,145.4,259.6,72.9
DS 21,05/18/2026 - 05/24/2026,1974.3,124.3,226.6,67.4
DS 22,05/25/2026 - 05/31/2026,1702.9,121.1,175.1,57.3
DS 23,06/01/2026 - 06/07/2026,1698.7,117.1,181.1,60.6
DS 24,06/08/2026 - 06/14/2026,1970.9,118.7,212.3,67.4
DS 25,06/15/2026 - 06/21/2026,1671.4,103.4,162.4,64.7
DS 26,06/22/2026 - 06/28/2026,1691.1,96.4,190.7,64.7
